scope,model,gauge,sequence,absrel,rmse,delta1,tce,failed,catastrophic,n
L256_existing_13,sparse_k60,none,rgbd_bonn_person_tracking2,0.13113703409352004,0.5117267714210373,0.8120565565804508,0.02308983507629973,0,0,2
L256_existing_13,sparse_k60,none,rgbd_bonn_static_close_far,0.3593935101978924,1.256709991729933,0.3070002209820724,0.01593967020302405,0,0,6
L256_existing_13,sparse_k60,none,rgbd_dataset_freiburg3_walking_static,0.18183159927676132,0.8984251970119376,0.8103132985328003,0.0396438441306014,0,0,2
L256_existing_13,sparse_k60,median,rgbd_bonn_crowd2,0.22300654602422487,0.5487505797936368,0.7616360545818147,0.03873802023709443,0,0,3
L256_existing_13,sparse_k60,median,rgbd_bonn_person_tracking2,0.13275941571622005,0.483602579205878,0.8289655682142141,0.02431233552848771,0,0,2
L256_existing_13,sparse_k60,median,rgbd_bonn_static_close_far,0.24611325983532356,0.6387964540404422,0.7135161740228395,0.017751758343876253,0,0,6
L256_existing_13,sparse_k60,median,rgbd_dataset_freiburg3_walking_static,0.18440548401319132,0.9298719372219473,0.8035911860223848,0.04210540551481839,0,0,2
L256_existing_13,sparse_k60,scaleshift,rgbd_bonn_crowd2,0.18488808233244133,0.5798850284622789,0.7505472049290632,0.04138650594823882,0,0,3
L256_existing_13,sparse_k60,scaleshift,rgbd_bonn_person_tracking2,0.12575920723129494,0.5073095746003728,0.8436210187784124,0.020403422240619244,0,0,2
L256_existing_13,sparse_k60,scaleshift,rgbd_bonn_static_close_far,0.27332808085586907,11.367098943880944,0.6318642572008246,0.04631027023886484,2,0,6
L256_existing_13,sparse_k60,scaleshift,rgbd_dataset_freiburg3_walking_static,0.18949355968074924,0.9540592943690506,0.7667480354816798,0.03829863431112022,0,0,2
L256_existing_13,delta_sp,none,rgbd_bonn_crowd2,0.1969806480162598,0.4858812929118802,0.7837828355371838,0.0376997559065584,0,0,3
L256_existing_13,delta_sp,none,rgbd_bonn_person_tracking2,0.12100922379802465,0.4731840975617678,0.836234103469802,0.02333276431122455,0,0,2
L256_existing_13,delta_sp,none,rgbd_bonn_static_close_far,0.3457051760754215,1.2341172346938287,0.31073199674298113,0.016322806448091035,0,0,6
L256_existing_13,delta_sp,none,rgbd_dataset_freiburg3_walking_static,0.18223579831436243,0.8943674063220223,0.8188850193112494,0.040370628202140164,0,0,2
L256_existing_13,delta_sp,median,rgbd_bonn_crowd2,0.20362451385881244,0.48982242616523214,0.7812113596811017,0.038626619139716684,0,0,3
L256_existing_13,delta_sp,median,rgbd_bonn_person_tracking2,0.12156676388837696,0.4476786059511136,0.8585858445181161,0.024377594284679945,0,0,2
L256_existing_13,delta_sp,median,rgbd_bonn_static_close_far,0.2312005911579564,0.5912909278431279,0.7337630476135488,0.018215707545913947,0,0,6
L256_existing_13,delta_sp,median,rgbd_dataset_freiburg3_walking_static,0.17967268377992307,0.9298955406090015,0.8123831440930207,0.0425976040819772,0,0,2
L256_existing_13,delta_sp,scaleshift,rgbd_bonn_crowd2,0.17257842328693002,0.5145950727651512,0.7706959955550273,0.04130020914954817,0,0,3
L256_existing_13,delta_sp,scaleshift,rgbd_bonn_person_tracking2,0.1158106714613773,0.46538593023017766,0.8715001528414419,0.0215713186631445,0,0,2
L256_existing_13,delta_sp,scaleshift,rgbd_bonn_static_close_far,0.2994808435393177,15.152995486472138,0.6609232735457004,0.06545609637779978,2,0,6
L256_existing_13,delta_sp,scaleshift,rgbd_dataset_freiburg3_walking_static,0.18977032614870717,0.9378240585490979,0.7752323392539768,0.03836130397566997,0,0,2
L256_existing_13,drop_sp,none,rgbd_bonn_crowd2,0.19912980580594308,0.4885119530323786,0.7829617815725171,0.03911928037573497,0,0,3
L256_existing_13,drop_sp,none,rgbd_bonn_person_tracking2,0.11925474963120808,0.4667479638787054,0.8456815766370439,0.024508025694021607,0,0,2
