scope,model,gauge,aggregation,absrel,rmse,delta1,tce,failed,catastrophic,n
L256_all_13,sparse_k30,scaleshift,equal_sequence,0.19561255925425772,4.408894438852682,0.7694981567403546,0.04117175586625255,2,0,13
L256_all_13,sparse_k60,none,balanced,0.22654072406234044,0.935177113383564,0.6749449115222437,0.0316232323342122,0,0,13
L256_all_13,sparse_k60,none,equal_sequence,0.2211649729614209,0.8029635173565843,0.6727569572328654,0.029063721762568974,0,0,13
L256_all_13,sparse_k60,median,balanced,0.20063011405431846,0.7574858687046642,0.7770260006983294,0.03360680017246974,0,0,13
L256_all_13,sparse_k60,median,equal_sequence,0.19657117639723995,0.6502553875654761,0.7769272457103132,0.030726879906069197,0,0,13
L256_all_13,sparse_k60,scaleshift,balanced,0.20388567093879262,4.54248005383367,0.7376085970997932,0.03901189568977201,2,0,13
L256_all_13,sparse_k60,scaleshift,equal_sequence,0.19336723252508864,3.3520882103281613,0.7481951290974951,0.03659970818471078,2,0,13
L256_all_13,dense_carry,none,balanced,0.21024874548032493,0.902724800182988,0.7156445357978098,0.027749295767564512,0,0,13
L256_all_13,dense_carry,none,equal_sequence,0.19684521567571986,0.7243712448517382,0.7264191020835467,0.025396902436517557,0,0,13
L256_all_13,dense_carry,median,balanced,0.17681773763168648,0.7010060074802607,0.8194900128133639,0.029107382973293704,0,0,13
L256_all_13,dense_carry,median,equal_sequence,0.16715282103663193,0.5632931481369601,0.8307576599311459,0.026499759216103667,0,0,13
L256_all_13,dense_carry,scaleshift,balanced,0.1822364510436341,0.8223718182653127,0.7752262084891244,0.02937842559695,0,0,13
L256_all_13,dense_carry,scaleshift,equal_sequence,0.16528297727694805,0.6612536418408788,0.797317351179525,0.02753749437740917,0,0,13
L256_all_13,dense_reset,none,balanced,0.20971832430113307,0.892515661693845,0.7261305023891289,0.031716073150000024,0,0,13
L256_all_13,dense_reset,none,equal_sequence,0.19572453099102596,0.7197276333455133,0.7366363672333434,0.02870327695627557,0,0,13
L256_all_13,dense_reset,median,balanced,0.17685370411580947,0.696700580873751,0.827108247735576,0.03328798807324297,0,0,13
L256_all_13,dense_reset,median,equal_sequence,0.16532897189837045,0.5584233066793198,0.8379366506334008,0.02984942152705968,0,0,13
L256_all_13,dense_reset,scaleshift,balanced,0.1823242227176895,0.8373380243808455,0.7847070488615651,0.03307643737172552,0,0,13
L256_all_13,dense_reset,scaleshift,equal_sequence,0.16476703422264294,0.6766578242485918,0.8067241305716926,0.030837133877889295,0,0,13
L256_all_13,output_hold,none,balanced,0.22327237006374792,0.9426227212906587,0.706617298273764,0.03187108823788976,0,0,13
L256_all_13,output_hold,none,equal_sequence,0.20912025346043508,0.7673377709950114,0.7151003434846772,0.028911962000788886,0,0,13
L256_all_13,output_hold,median,balanced,0.19147565577097106,0.7616533312709411,0.8077917103113044,0.033169787033619225,0,0,13
L256_all_13,output_hold,median,equal_sequence,0.17911389398069597,0.6132981497447619,0.8180163239518582,0.029756474670254482,0,0,13
L256_all_13,output_hold,scaleshift,balanced,0.1953090574980179,0.8915747697715807,0.768006367488921,0.031172121795485327,0,0,13
L256_all_13,output_hold,scaleshift,equal_sequence,0.17735926343321823,0.729624223155209,0.7888178467392672,0.02934936081789591,0,0,13
L256_all_13,gmc_k30,none,balanced,0.21231156222141134,0.9170930219773125,0.7096094756097728,0.031161510819895696,0,0,13
L256_all_13,gmc_k30,none,equal_sequence,0.19976693829661418,0.7401550562317412,0.7188818063936707,0.02898579248991424,0,0,13
L256_all_13,gmc_k30,median,balanced,0.18139468826412886,0.7369718650565085,0.8048871727875622,0.03324497306004193,0,0,13
